State,Offenses,Population,Crime_Rate,Median_Income,Year
Alabama,0,85670,0,56200,2019
Alabama,0,1865517,0,50841,2018
Alabama,9,2918324,0.308396189,53049,2017
Alabama,17,1013839,1.676794836,50308,2016
Alabama,12,1252146,0.958354697,48030,2015
Alabama,10,794907,1.258008799,45701,2014
Alabama,6,1147612,0.522824787,52017,2013
Alabama,6,141235,4.248238751,48487,2012
Alabama,96,2285487,4.200417679,48518,2011
Alabama,24,3762738,0.637833407,48100,2010
Alaska,17,727792,2.335832216,78394,2019
Alaska,8,733747,1.090294066,69979,2018
Alaska,4,736205,0.543326927,81335,2017
Alaska,13,738566,1.760167676,80673,2016
Alaska,19,734820,2.585667238,81054,2015
Alaska,7,732371,0.955799724,73105,2014
Alaska,9,730950,1.231274369,79666,2013
Alaska,6,315266,1.903154796,71003,2012
Alaska,8,304924,2.62360457,65424,2011
Alaska,9,290334,3.099878071,67977,2010
Arizona,254,6395924,3.971279208,70674,2019
Arizona,211,7135285,2.957134859,63411,2018
Arizona,328,6755795,4.855091074,62263,2017
Arizona,291,6361910,4.57409803,60832,2016
Arizona,322,6622880,4.861933177,56381,2015
Arizona,304,6433584,4.725204489,53242,2014
Arizona,212,6358545,3.334096086,57834,2013
Arizona,209,5974180,3.498388063,52480,2012
Arizona,231,6225041,3.710818933,55388,2011
Arizona,300,6328446,4.740500274,55107,2010
Arkansas,10,2813597,0.355416927,54539,2019
Arkansas,14,2874960,0.486963297,50683,2018
Arkansas,8,2836240,0.282063577,51887,2017
Arkansas,15,2853645,0.525643519,48908,2016
Arkansas,8,2754543,0.290429302,46184,2015
Arkansas,16,2661818,0.601092937,48559,2014
Arkansas,34,2809536,1.210164241,43285,2013
Arkansas,30,2748544,1.091486984,43527,2012
Arkansas,18,2804225,0.641888579,47051,2011
Arkansas,85,2752987,3.087555444,45343,2010
California,1221,39502561,3.090938838,78105,2019
California,1222,39520441,3.092070759,71766,2018
California,1270,39529144,3.212819382,73045,2017
California,1142,39242633,2.910100349,70993,2016
California,1017,39137326,2.598542374,68670,2015
California,943,38802500,2.430255782,65384,2014
California,1012,38324460,2.640611244,66829,2013
California,1089,37933751,2.870794402,63609,2012
California,1204,37691912,3.194319248,60795,2011
California,1331,37200288,3.577929289,63788,2010
Colorado,257,5705335,4.504555824,72499,2019
Colorado,176,5512017,3.193023534,74357,2018
Colorado,136,5575629,2.439186682,78204,2017
Colorado,126,5519770,2.282703808,75179,2016
Colorado,143,5445853,2.625851267,71864,2015
Colorado,129,5268592,2.448472002,65874,2014
Colorado,154,5163276,2.982602518,74654,2013
Colorado,233,5109141,4.560453509,63871,2012
Colorado,223,4992496,4.466703629,66789,2011
Colorado,196,4908638,3.99296098,70779,2010
Connecticut,86,3373874,2.54899857,87291,2019
Connecticut,92,3150064,2.920575582,74131,2018
Connecticut,122,3588184,3.400048604,77494,2017
Connecticut,124,3576452,3.467123283,80886,2016
Connecticut,107,3399068,3.147921724,78655,2015
Connecticut,144,3375662,4.265829932,75842,2014
Connecticut,172,3566367,4.822835115,76170,2013
Connecticut,176,3574937,4.923163681,71671,2012
Connecticut,164,3580709,4.580098522,74520,2011
Connecticut,168,3574097,4.700487983,77554,2010
Delaware,27,973764,2.772745758,74194,2019
Delaware,18,962453,1.870221195,66190,2018
Delaware,30,961939,3.118700874,67750,2017
Delaware,19,952065,1.995662061,61840,2016
Delaware,11,945934,1.162871828,62325,2015
Delaware,18,935614,1.923870314,62179,2014
Delaware,13,925749,1.404268328,59461,2013
Delaware,11,917092,1.199443458,54631,2012
Delaware,21,907135,2.314980681,62268,2011
Delaware,20,897934,2.227335194,64882,2010
Florida,131,20901840,0.626739081,58368,2019
Florida,166,20922562,0.793401879,55634,2018
Florida,166,20515334,0.809150853,55365,2017
Florida,110,8988095,1.223841092,54521,2016
Florida,83,5356877,1.549410225,52687,2015
Florida,72,19794279,0.363741463,49876,2014
Florida,82,19455529,0.421474019,53350,2013
Florida,166,19224398,0.863486076,51395,2012
Florida,139,18945433,0.733686055,51383,2011
Florida,146,18705419,0.780522479,51782,2010
Georgia,123,9290789,1.323891868,56628,2019
Georgia,41,8497512,0.48249417,56832,2018
Georgia,230,8948013,2.57040306,60475,2017
Georgia,46,8216137,0.559873819,57026,2016
Georgia,49,7991234,0.613171883,54784,2015
Georgia,50,8204655,0.609410146,53567,2014
Georgia,72,7817674,0.920990054,51657,2013
Georgia,21,7696372,0.272855834,53682,2012
Georgia,21,8600353,0.244176024,52372,2011
Georgia,19,7653795,0.248242865,51842,2010
Idaho,38,1782402,2.13195452,65988,2019
Idaho,26,1738946,1.495158562,59792,2018
Idaho,61,1699259,3.589800025,62052,2017
Idaho,35,1683140,2.079446748,60261,2016
Idaho,46,1654475,2.780338174,55708,2015
Idaho,40,1634011,2.447963937,57765,2014
Idaho,37,1611676,2.295746788,53278,2013
Idaho,39,1595241,2.444771668,53460,2012
Idaho,49,1583018,3.095353306,54064,2011
